WP_002551313.1	WP_017338989.1	81	303	30	8	26.67	37	0.38	26.2
WP_002551314.1	WP_031319201.1	133	133	133	122	91.73	100	3e-85	246
WP_002551315.1	WP_017337743.1	44	257	37	9	24.32	84	0.22	25.4
WP_002551326.1	WP_003213601.1	315	317	317	299	94.32	100	0.0	625
WP_002551363.1	WP_017341421.1	197	193	186	141	75.81	93	2e-82	244
WP_002551394.1	WP_017335870.1	290	290	275	265	96.36	95	0.0	511
WP_002551454.1	WP_003218037.1	197	197	197	186	94.42	100	1e-135	380
WP_002551458.1	WP_007897430.1	256	256	256	245	95.70	100	1e-179	496
WP_002551493.1	WP_017341496.1	307	309	302	291	96.36	98	0.0	597
WP_002551495.1	WP_017341494.1	141	142	142	118	83.10	100	6e-81	236
WP_002551505.1	WP_008030595.1	259	259	259	252	97.30	100	0.0	521
WP_002551508.1	WP_008007602.1	301	301	301	279	92.69	100	0.0	557
WP_002551514.1	WP_007894701.1	77	77	77	72	93.51	100	3e-48	148
WP_002551515.1	WP_007894709.1	51	51	51	50	98.04	100	2e-31	103
WP_002551535.1	WP_017341376.1	106	105	104	86	82.69	98	2e-61	184
WP_002551560.1	WP_007942421.1	419	419	419	409	97.61	100	0.0	837
WP_002551573.1	WP_007942437.1	69	69	69	59	85.51	100	6e-35	114
WP_002551631.1	WP_008047820.1	110	110	109	98	89.91	99	2e-69	205
WP_002551707.1	WP_010466914.1	192	194	198	141	71.21	100	7e-92	268
WP_002551717.1	WP_027922155.1	151	146	142	125	88.03	94	8e-93	267
WP_002551720.1	WP_017341283.1	107	107	107	87	81.31	100	8e-52	159
WP_002551734.1	WP_003195067.1	146	145	142	119	83.80	97	9e-87	251
WP_002551738.1	WP_017341265.1	136	134	130	121	93.08	96	2e-87	252
WP_002551819.1	WP_007902656.1	86	86	86	81	94.19	100	2e-56	169
WP_002551820.1	WP_017336253.1	433	433	433	383	88.45	100	0.0	730
WP_002551828.1	WP_003217491.1	141	140	105	104	99.05	74	6e-74	218
WP_002551829.1	WP_002551829.1	76	76	76	76	100.00	100	8e-51	154
WP_002551852.1	WP_007894317.1	81	80	81	72	88.89	100	2e-43	136
WP_002551877.1	WP_017341308.1	71	613	46	16	34.78	65	1.3	24.3
WP_002551953.1	WP_007906865.1	116	116	116	110	94.83	100	4e-78	227
WP_002551971.1	WP_003176051.1	103	104	102	100	98.04	99	1e-69	204
WP_002551972.1	WP_017340859.1	91	91	91	86	94.51	100	2e-58	175
WP_002551973.1	WP_017340858.1	407	407	407	367	90.17	100	0.0	688
WP_002552020.1	WP_017340821.1	69	66	66	51	77.27	96	2e-30	102
WP_002552060.1	WP_003176118.1	58	58	58	56	96.55	100	2e-34	112
WP_002552075.1	WP_003176102.1	163	163	163	158	96.93	100	5e-112	317
WP_002552076.1	WP_007948647.1	338	338	338	327	96.75	100	0.0	679
WP_002552154.1	WP_017340750.1	172	172	172	132	76.74	100	4e-99	285
WP_002552255.1	WP_017336632.1	493	496	493	441	89.45	100	0.0	904
WP_002552284.1	WP_017340635.1	142	142	142	114	80.28	100	9e-83	241
WP_002552307.1	WP_017340454.1	118	120	117	50	42.74	99	2e-29	103
WP_002552324.1	WP_017340428.1	288	289	287	264	91.99	99	0.0	540
WP_002552468.1	WP_007916913.1	111	112	112	96	85.71	100	5e-54	165
WP_002552474.1	WP_007903581.1	163	163	163	145	88.96	100	2e-103	295
WP_002552476.1	WP_003443374.1	128	128	128	125	97.66	100	3e-91	261
WP_002552482.1	WP_007916882.1	141	141	141	140	99.29	100	7e-98	279
WP_002552488.1	WP_017340311.1	213	213	213	168	78.87	100	2e-119	340
WP_002552521.1	WP_003198088.1	85	83	83	74	89.16	98	8e-51	155
WP_002552523.1	WP_007897583.1	250	250	250	237	94.80	100	4e-170	471
WP_002552524.1	WP_003175895.1	116	116	116	114	98.28	100	7e-80	231
WP_002552679.1	WP_007945752.1	61	61	61	57	93.44	100	2e-36	117
WP_002552688.1	WP_003179396.1	60	60	60	59	98.33	100	2e-38	122
WP_002552729.1	WP_008032762.1	288	288	288	258	89.58	100	0.0	512
WP_002552734.1	WP_017339698.1	213	211	209	182	87.08	98	3e-136	382
WP_002552735.1	WP_007946893.1	427	427	427	417	97.66	100	0.0	847
WP_002552737.1	WP_002552737.1	90	90	90	90	100.00	100	4e-58	174
WP_002552742.1	WP_017338261.1	357	357	357	333	93.28	100	0.0	672
WP_002552793.1	WP_017339280.1	338	338	338	306	90.53	100	0.0	641
WP_002552818.1	WP_008028561.1	108	112	112	86	76.79	100	1e-55	169
WP_002552957.1	WP_017337633.1	370	370	370	339	91.62	100	0.0	710
WP_002552974.1	WP_017337241.1	429	429	429	413	96.27	100	0.0	872
WP_002553117.1	WP_017340001.1	130	129	130	103	79.23	100	1e-55	171
WP_002553131.1	WP_017339992.1	179	179	179	157	87.71	100	2e-113	322
WP_002553160.1	WP_002553160.1	64	64	64	64	100.00	100	6e-40	126
WP_002553161.1	WP_007905879.1	118	118	118	117	99.15	100	2e-76	223
WP_002553164.1	WP_002553164.1	100	100	100	100	100.00	100	2e-68	201
WP_002553206.1	WP_017341265.1	122	134	115	41	35.65	94	2e-21	83.2
WP_002553253.1	WP_017341372.1	155	156	154	83	53.90	99	5e-58	179
WP_002553298.1	WP_017338614.1	187	187	187	178	95.19	100	1e-131	369
WP_002553302.1	WP_008075430.1	120	121	120	105	87.50	99	5e-70	207
WP_002553334.1	WP_007898282.1	91	91	91	85	93.41	100	3e-58	175
WP_002553340.1	WP_017339136.1	93	93	93	88	94.62	100	4e-63	187
WP_002553344.1	WP_007896273.1	214	194	194	182	93.81	91	6e-131	368
WP_002553776.1	WP_017339493.1	93	540	39	13	33.33	41	1.1	25.4
WP_002553918.1	WP_017339129.1	259	259	259	227	87.64	100	4e-172	477
WP_002553978.1	WP_017339210.1	223	223	223	208	93.27	100	4e-147	411
WP_002553999.1	WP_002553999.1	72	72	72	72	100.00	100	1e-48	149
WP_002554011.1	WP_003223812.1	137	137	137	130	94.89	100	7e-90	258
WP_002554022.1	WP_017339609.1	510	510	510	456	89.41	100	0.0	868
WP_002554068.1	WP_003202835.1	114	114	113	109	96.46	99	5e-76	221
WP_002554078.1	WP_007907888.1	134	134	134	121	90.30	100	2e-87	252
WP_002554136.1	WP_003127751.1	49	213	15	8	53.33	31	1.4	23.1
WP_002554157.1	WP_017337657.1	62	63	62	48	77.42	100	1e-28	97.4
WP_002554277.1	WP_008024593.1	89	89	89	73	82.02	100	2e-47	147
WP_002554288.1	WP_017337183.1	149	149	149	110	73.83	100	4e-75	222
WP_002554316.1	WP_007937507.1	146	147	147	124	84.35	100	8e-87	251
WP_002554423.1	WP_003178899.1	108	108	108	93	86.11	100	3e-64	191
WP_002554426.1	WP_002554426.1	62	62	62	62	100.00	100	2e-39	124
WP_002554502.1	WP_017338278.1	86	86	86	74	86.05	100	1e-51	157
WP_002554553.1	WP_017340874.1	68	1282	19	10	52.63	28	2.1	23.5
WP_002554561.1	WP_017337302.1	98	98	96	95	98.96	98	9e-67	197
WP_002554562.1	WP_007899744.1	563	563	563	536	95.20	100	0.0	1076
WP_002554563.1	WP_017337300.1	229	229	229	195	85.15	100	1e-134	380
WP_002554613.1	WP_017340166.1	59	62	56	42	75.00	95	2e-24	86.3
WP_002554654.1	WP_017340466.1	154	153	154	138	89.61	100	4e-96	276
WP_002554655.1	WP_017340467.1	231	231	231	221	95.67	100	1e-162	451
WP_002554680.1	WP_003443014.1	259	259	259	258	99.61	100	0.0	535
WP_002554688.1	WP_017336758.1	354	350	352	322	91.48	99	0.0	655
WP_002554719.1	WP_017336708.1	146	146	146	128	87.67	100	4e-96	275
WP_002554836.1	WP_007904652.1	188	188	188	174	92.55	100	7e-130	364
WP_002554837.1	WP_002554837.1	69	69	69	69	100.00	100	2e-45	140
WP_002554843.1	WP_017340565.1	208	208	208	196	94.23	100	2e-145	405
WP_002554851.1	WP_017340571.1	156	157	156	132	84.62	100	1e-91	265
WP_002554852.1	WP_016773402.1	108	113	100	91	91.00	93	2e-66	197
WP_002554865.1	WP_017340583.1	221	223	220	198	90.00	99	3e-147	411
WP_002554892.1	WP_017339044.1	293	282	257	74	28.79	87	1e-31	118
WP_002554906.1	WP_017340629.1	229	229	229	216	94.32	100	4e-148	414
WP_002554912.1	WP_003172477.1	193	193	193	188	97.41	100	8e-138	385
WP_002554967.1	WP_007935837.1	65	66	66	57	86.36	100	4e-34	111
WP_002554971.1	WP_007933316.1	126	125	126	116	92.06	100	2e-79	231
WP_002555020.1	WP_008032118.1	227	227	227	218	96.04	100	1e-158	440
WP_002555040.1	WP_017340679.1	303	303	303	289	95.38	100	0.0	593
WP_002555041.1	WP_017340680.1	395	397	397	376	94.71	100	0.0	685
WP_002555079.1	WP_007901566.1	79	79	79	70	88.61	100	7e-50	152
WP_002555088.1	WP_017336542.1	182	182	183	133	72.68	99	5e-86	253
WP_002555089.1	WP_017336541.1	241	241	241	230	95.44	100	3e-169	468
WP_002555091.1	WP_007941242.1	102	102	102	83	81.37	100	1e-54	166
WP_002555108.1	WP_002555108.1	345	345	345	345	100.00	100	0.0	692
WP_002555121.1	WP_003176135.1	89	89	89	82	92.13	100	2e-55	167
WP_002555126.1	WP_010463487.1	152	152	152	139	91.45	100	6e-92	265
WP_002555194.1	WP_031318385.1	303	303	303	283	93.40	100	0.0	566
WP_002555214.1	WP_017340862.1	80	85	80	73	91.25	100	7e-49	150
WP_002555221.1	WP_017340868.1	162	162	162	146	90.12	100	3e-108	307
WP_002555235.1	WP_008040321.1	455	455	455	436	95.82	100	0.0	896
WP_002555239.1	WP_017341157.1	55	324	42	18	42.86	62	1.5	23.5
WP_002555305.1	WP_007894448.1	159	159	159	149	93.71	100	1e-107	305
WP_002555325.1	WP_017340991.1	51	54	45	38	84.44	88	8e-22	79.0
WP_002555327.1	WP_007946663.1	335	340	335	315	94.03	99	0.0	653
WP_002555336.1	WP_007937439.1	155	155	155	146	94.19	100	6e-106	301
WP_002555337.1	WP_017341001.1	128	164	126	86	68.25	98	6e-61	186
WP_002555369.1	WP_017336343.1	150	150	148	131	88.51	99	5e-95	273
WP_002555375.1	WP_007907419.1	106	106	106	104	98.11	100	3e-72	211
WP_002555418.1	WP_017336290.1	210	210	210	164	78.10	100	8e-119	338
WP_002555427.1	WP_003228649.1	158	158	158	149	94.30	100	1e-105	300
WP_002555464.1	WP_003186012.1	333	333	333	331	99.40	100	0.0	667
WP_002555465.1	WP_003210056.1	206	206	206	205	99.51	100	1e-150	418
WP_002555466.1	WP_002555466.1	129	129	129	129	100.00	100	7e-92	263
WP_002555467.1	WP_003186020.1	118	118	118	116	98.31	100	1e-81	236
WP_002555469.1	WP_008073883.1	444	442	444	430	96.85	100	0.0	863
WP_002555470.1	WP_007896782.1	144	145	145	142	97.93	100	4e-96	275
WP_002555471.1	WP_003186033.1	58	58	58	56	96.55	100	1e-36	117
WP_002555473.1	WP_017341069.1	116	116	116	110	94.83	100	1e-64	193
WP_002555474.1	WP_003176412.1	177	177	177	170	96.05	100	2e-121	342
WP_002555475.1	WP_003186040.1	130	130	130	124	95.38	100	7e-86	248
WP_002555477.1	WP_003176415.1	179	179	179	176	98.32	100	2e-126	354
WP_002555479.1	WP_002555479.1	122	122	122	122	100.00	100	4e-85	245
WP_002555480.1	WP_003176419.1	88	88	88	86	97.73	100	9e-59	176
WP_002555481.1	WP_008030901.1	63	63	63	59	93.65	100	2e-35	114
WP_002555482.1	WP_007896757.1	137	137	137	131	95.62	100	6e-79	231
WP_002555485.1	WP_003103908.1	110	110	110	109	99.09	100	3e-73	214
